year,authors,title,proceedings,url
2016,"Heike Adel, Benjamin Roth and Hinrich Schütze.",Comparing Convolutional Neural Networks to Traditional Models for Slot Filling.,"Proceedings of the 15th Annual Conference of the North American Chapter of the Association for Computational Linguistics, San Diego, USA, June 2016.",http://aclweb.org/anthology/N/N16/N16-1097.pdf
2016,"Fabienne Braune, Alexander Fraser, Hal Daumé III and Aleš Tamchyna.",A Framework for Discriminative Rule Selection in Hierarchical Moses.,"Proceedings of the First Conference on Machine Translation (WMT), Berlin, Germany, August 2016",https://aclweb.org/anthology/W/W16/W16-2210.pdf
2016,"Marco Cornolti, Paolo Ferragina, Massimiliano Ciaramita, Hinrich Schütze and Stefan Rüd.",A Piggyback System for Joint Entity Mention Detection and Linking in Web Queries.,"Proceedings of the 25th International Conference on World Wide Web, Montreal, Canada, April 2016.",http://www2016.net/proceedings/proceedings/p567.pdf
2016,"Ryan Cotterell, Jason Eisner and Hinrich Schütze.",Morphological Smoothing and Extrapolation of Word Embeddings.,"Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics, Berlin, Germany, August 2016.",https://www.aclweb.org/anthology/P/P16/P16-1156.pdf
2016,"Ryan Cotterell, Arun Kumar and Hinrich Schütze.",Morphological Segmentation Inside-Out.,"Proceedings of the 2016 Conference on Empirical Methods in Natural Language Processing, Austin, USA, November 2016",https://ryancotterell.github.io/papers/cotterell+al.emnlp16.pdf
2016,"Ryan Cotterell, Tim Vieira and Hinrich Schütze.",A Joint Model of Orthography and Morphological Segmentation.,"Proceedings of the 15th Annual Conference of the North American Chapter of the Association for Computational Linguistics, San Diego, USA, June 2016",http://aclweb.org/anthology/N/N16/N16-1080.pdf
2016,"Sebastian Ebert, Thomas Müller and Hinrich Schütze.",LAMB: A Good Shepherd of Morphologically Rich Languages.,"Proceedings of the 2016 Conference on Empirical Methods in Natural Language Processing, Austin, USA, November 2016",http://localhost:8888/files/pdf/lamb.pdf
2016,"Pankaj Gupta, Hinrich Schütze and Bernt Andrassy.",Table Filling Multi-Task Recurrent Neural Network for Joint Entity and Relation Extraction.,"Proceedings of the 26th International Conference on Computational Linguistics, Osaka, Japan, December 2016.",https://www.researchgate.net/publication/308954394_Table_Filling_Multi-Task_Recurrent_Neural_Network_for_Joint_Entity_and_Relation_Extraction
2016,"Katharina Kann, Ryan Cotterell and Hinrich Schütze.",Neural Morphological Analysis: Encoding-Decoding Canonical Segments.,"Proceedings of the 2016 Conference on Empirical Methods in Natural Language Processing, Austin, USA, November 2016.",https://ryancotterell.github.io/papers/kann+al.emnlp16.pdf
2016,Katharina Kann and Hinrich Schütze.,Morphological Reinflection with Encoder-Decoder Models and Edit Trees.,"Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics, Berlin, Germany, August 2016.",https://www.aclweb.org/anthology/P/P16/P16-2090.pdf
2016,Anita Ramm and Alexander Fraser.,Modeling Verbal Inflection for English to German SMT.,"Proceedings of the First Conference on Machine Translation (WMT), Berlin, Germany, August 2016",https://aclweb.org/anthology/W/W16/W16-2203.pdf
2016,Sascha Rothe and Hinrich Schütze.,Word Embedding Calculus in Meaningful Ultradense Subspaces.,"Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics, Berlin, Germany, August 2016.",https://aclweb.org/anthology/P/P16/P16-2083.pdf
2016,"Sascha Rothe, Sebastian Ebert and Hinrich Schütze.",Ultradense Word Embeddings by Orthogonal Transformation.,"Proceedings of the 15th Annual Conference of the North American Chapter of the Association for Computational Linguistics,",http://aclweb.org/anthology/N/N16/N16-1091.pdf
2016,"Hassan Sajjad, Alexander Fraser, Helmut Schmid, Hinrich Schütze.","Statistical Models for Unsupervised, Semi-supervised and Supervised Transliteration Mining.",Computational Linguistics,"http://localhost:8888/files/pdf/sajjad,final,computational,linguistics,transliteration,201608.pdf"
2016,"Uwe Springmann, Helmut Schmid, Dietmar Najock.",LatMor: A Latin Finite-State Morphology Encoding Vowel Quantity,"Open Linguistics, 2016.",https://www.degruyter.com/view/j/opli.2016.2.issue-1/opli-2016-0019/opli-2016-0019.xml
2016,"Aleš Tamchyna, Alexander Fraser and Ondřej Bojar.",Target-Side Context for Discriminative Models in Statistical Machine Translation.,"Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics, Berlin, Germany, August 2016.",https://www.aclweb.org/anthology/P/P16/P16-1161.pdf
2016,"Patrick Verga, David Belanger, Emma Strubell, Benjamin Roth and Andrew McCallum.",Multilingual Relation Extraction using Compositional Universal Schema.,"Proceedings of the 15th Annual Conference of the North American Chapter of the Association for Computational Linguistics, San Diego, USA, June 2016.",http://aclweb.org/anthology/N/N16/N16-1103.pdf
2016,"Tim Vieira, Ryan Cotterell and Jason Eisner.",Speed-Accuracy Tradeoffs in Tagging with Variable-Order CRFs and Structured Sparsity.,"Proceedings of the 2016 Conference on Empirical Methods in Natural Language Processing, Austin, USA, November 2016.",https://www.aclweb.org/anthology/D/D16/D16-1206.pdf
2016,"Ngoc Thang Vu, Heike Adel, Pankaj Gupta and Hinrich Schütze.",Combining Recurrent and Convolutional Neural Networks for Relation Classification.,"Proceedings of the 15th Annual Conference of the North American Chapter of the Association for Computational Linguistics, San Diego, USA, June 2016.",http://aclweb.org/anthology/N/N16/N16-1065.pdf
2016,"Marion Weller-Di Marco, Alexander Fraser and Sabine Schulte im Walde.",Modeling Complement Types in Phrase-based SMT.,"Proceedings of the First Conference on Machine Translation (WMT), Berlin, Germany, August 2016.",https://aclweb.org/anthology/W/W16/W16-2205.pdf
2016,Yadollah Yaghoobzadeh and Hinrich Schütze.,Intrinsic Subspace Evaluation of Word Embedding Representations.,"Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics, Berlin, Germany, August 2016.",https://aclweb.org/anthology/P/P16/P16-1023.pdf
2016,"Wenpeng Yin, Hinrich Schütze, Bing Xiang, Bowen Zhou.",ABCNN: Attention-Based Convolutional Neural Network for Modeling Sentence Pairs.,"ransactions of the Association for Computational Linguistics, 2016.",https://tacl2013.cs.columbia.edu/ojs/index.php/tacl/article/download/831/194
2016,Wenpeng Yin and Hinrich Schütze.,Learning Word Meta-Embeddings.,"Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics, Berlin, Germany, August 2016.",https://aclweb.org/anthology/P/P16/P16-1128.pdf
2016,"Wenpeng Yin, Mo Yu, Bin Xiang, Bowen Zhou, Hinrich Schütze.",Simple Question Answering by Attentive Convolutional Neural Network.,"Proceedings of the 26th International Conference on Computational Linguistics, Osaka, Japan, December 2016.",https://arxiv.org/pdf/1606.03391v1.pdf